Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio
05,Antioquia,001,MEDELLIN
05,Antioquia,002,ABEJORRAL
05,Antioquia,004,ABRIAQUI
05,Antioquia,021,ALEJANDRIA
05,Antioquia,030,AMAGA
05,Antioquia,031,AMALFI
05,Antioquia,034,ANDES
05,Antioquia,036,ANGELOPOLIS
05,Antioquia,038,ANGOSTURA
05,Antioquia,040,ANORI
05,Antioquia,042,ANTIOQUIA
05,Antioquia,044,ANZA
05,Antioquia,045,APARTADO
05,Antioquia,051,ARBOLETES
05,Antioquia,055,ARGELIA
05,Antioquia,059,ARMENIA
05,Antioquia,079,BARBOSA
05,Antioquia,086,BELMIRA
05,Antioquia,088,BELLO
05,Antioquia,091,BETANIA
05,Antioquia,093,BETULIA
05,Antioquia,101,BOLIVAR
05,Antioquia,107,BRICEÑO
05,Antioquia,113,BURITICA
05,Antioquia,120,CACERES
05,Antioquia,125,CAICEDO
05,Antioquia,129,CALDAS
05,Antioquia,134,CAMPAMENTO
05,Antioquia,138,CAÑASGORDAS
05,Antioquia,142,CARACOLI
05,Antioquia,145,CARAMANTA
05,Antioquia,147,CAREPA
05,Antioquia,148,CARMEN DE VIBORAL
05,Antioquia,150,CAROLINA
05,Antioquia,154,CAUCASIA
05,Antioquia,172,CHIGORODO
05,Antioquia,190,CISNEROS
05,Antioquia,197,COCORNA
05,Antioquia,206,CONCEPCION
05,Antioquia,209,CONCORDIA
05,Antioquia,212,COPACABANA
05,Antioquia,234,DABEIBA
05,Antioquia,237,DON MATIAS
05,Antioquia,240,EBEJICO
05,Antioquia,250,EL BAGRE
05,Antioquia,264,ENTRERRIOS
05,Antioquia,266,ENVIGADO
05,Antioquia,282,FREDONIA
05,Antioquia,284,FRONTINO
05,Antioquia,306,GIRALDO
05,Antioquia,308,GIRARDOTA
05,Antioquia,310,GOMEZ PLATA
05,Antioquia,313,GRANADA
05,Antioquia,315,GUADALUPE
05,Antioquia,318,GUARNE
05,Antioquia,321,GUATAPE
05,Antioquia,347,HELICONIA
05,Antioquia,353,HISPANIA
05,Antioquia,360,ITAGUI
05,Antioquia,361,ITUANGO
05,Antioquia,364,JARDIN
05,Antioquia,368,JERICO
05,Antioquia,376,LA CEJA
05,Antioquia,380,LA ESTRELLA
05,Antioquia,390,LA PINTADA
05,Antioquia,400,LA UNION
05,Antioquia,411,LIBORINA
05,Antioquia,425,MACEO
05,Antioquia,440,MARINILLA
05,Antioquia,467,MONTEBELLO
05,Antioquia,475,MURINDO
05,Antioquia,480,MUTATA
05,Antioquia,483,NARIÑO
05,Antioquia,490,NECOCLI
05,Antioquia,495,NECHI
05,Antioquia,501,OLAYA
05,Antioquia,541,PEÑOL
05,Antioquia,543,PEQUE
05,Antioquia,576,PUEBLORRICO
05,Antioquia,579,PUERTO BERRIO
05,Antioquia,585,"PUERTO NARE (LA 
MAGDALENA)"
05,Antioquia,591,PUERTO TRIUNFO
05,Antioquia,604,REMEDIOS
05,Antioquia,607,RETIRO
05,Antioquia,615,RIONEGRO
05,Antioquia,628,SABANALARGA
05,Antioquia,631,SABANETA
05,Antioquia,642,SALGAR
05,Antioquia,647,SAN ANDRES
05,Antioquia,649,SAN CARLOS
05,Antioquia,652,SAN FRANCISCO
05,Antioquia,656,SAN JERONIMO
05,Antioquia,658,SAN JOSE DE LA MONTAÑA
05,Antioquia,659,SAN JUAN DE URABA
05,Antioquia,660,SAN LUIS
05,Antioquia,664,SAN PEDRO
05,Antioquia,665,SAN PEDRO DE URABA
05,Antioquia,667,SAN RAFAEL
05,Antioquia,670,SAN ROQUE
05,Antioquia,674,SAN VICENTE
05,Antioquia,679,SANTA BARBARA
05,Antioquia,686,SANTA ROSA DE OSOS
05,Antioquia,690,SANTO DOMINGO
05,Antioquia,697,SANTUARIO
05,Antioquia,736,SEGOVIA
05,Antioquia,756,SONSON
05,Antioquia,761,SOPETRAN
05,Antioquia,789,TAMESIS
05,Antioquia,790,TARAZA
05,Antioquia,792,TARSO
05,Antioquia,809,TITIRIBI
05,Antioquia,819,TOLEDO
05,Antioquia,837,TURBO
05,Antioquia,842,URAMITA
05,Antioquia,847,URRAO
05,Antioquia,854,VALDIVIA
05,Antioquia,856,VALPARAISO
05,Antioquia,858,VEGACHI
05,Antioquia,861,VENECIA
05,Antioquia,873,VIGIA DEL FUERTE
05,Antioquia,885,YALI
05,Antioquia,887,YARUMAL
05,Antioquia,890,YOLOMBO
05,Antioquia,893,YONDO
05,Antioquia,895,ZARAGOZA
08,Atlantico,001,"BARRANQUILLA (DISTRITO 
ESPECIAL, INDUSTRIAL Y 
PORTUARIO DE BARRANQUILLA)"
08,Atlantico,078,BARANOA
08,Atlantico,137,CAMPO DE LA CRUZ
08,Atlantico,141,CANDELARIA
08,Atlantico,296,GALAPA
08,Atlantico,372,JUAN DE ACOSTA
08,Atlantico,421,LURUACO
08,Atlantico,433,MALAMBO
08,Atlantico,436,MANATI
08,Atlantico,520,PALMAR DE VARELA
08,Atlantico,549,PIOJO
08,Atlantico,558,POLO NUEVO
08,Atlantico,560,PONEDERA
08,Atlantico,573,PUERTO COLOMBIA
08,Atlantico,606,REPELON
08,Atlantico,634,SABANAGRANDE
08,Atlantico,638,SABANALARGA
08,Atlantico,675,SANTA LUCIA
08,Atlantico,685,SANTO TOMAS
08,Atlantico,758,SOLEDAD
08,Atlantico,770,SUAN
08,Atlantico,832,TUBARA
08,Atlantico,849,USIACURI
